Date,ISO3166-2,Relative Humidity Surface,Solar Radiation,Surface Pressure,Temperature Above Ground,Total Precipiation,UV-Index,Wind Speed
2020-09-14,DE-HH,75.13614,12496175.015152,2452586.098485,292.185288,0.0,22.0,1.4840280000000001
2020-09-15,DE-HH,74.752652,7500463.181817999,2439483.653409,293.824435,0.0,19.992424,1.5240850000000001
2020-09-16,DE-HH,80.587657,11024417.742424,2439711.893939,290.02964,0.0,16.234848,3.199558
2020-09-17,DE-HH,66.433964,12228590.515152,2464018.185606,285.163254,0.0,19.340909,2.700947
2020-09-18,DE-HH,66.530964,12536827.363636,2461566.609848,284.773667,0.0,19.0,2.1012310000000003
2020-09-19,DE-HH,66.30069499999999,8649368.015152,2447759.6875,286.149431,0.0,16.469697,2.690057
2020-09-20,DE-HH,64.910164,11928515.590909,2440943.433712,287.167804,0.0,18.0,2.473075
2020-09-21,DE-HH,69.88459499999999,11674058.431818,2433054.090909,287.726386,0.0,17.962121,1.532481
2020-09-22,DE-HH,73.333237,11117576.060606,2414660.445076,288.635002,0.0,17.060606,1.271559
2020-09-23,DE-HH,69.824464,10385264.840909,2400310.274621,289.224775,1e-06,16.015152,2.075631
2020-09-24,DE-HH,65.168213,8492108.083333,2394759.19697,288.747729,0.001297,15.416667000000002,4.006408
2020-09-25,DE-HH,70.226199,3050348.089015,2383353.223485,285.97358399999996,0.0018030000000000001,12.356061,2.80262
2020-09-26,DE-HH,83.800187,234929.276515,2381904.481061,284.035318,0.010711,10.05303,2.943782
2020-09-27,DE-HH,90.507919,49905.497011,2401059.960227,284.437245,0.002535,6.522727,2.506976
2020-09-28,DE-HH,87.07373299999999,1665496.980114,2416503.761364,285.312806,0.000168,9.219697,1.942582
2020-09-29,DE-HH,78.060793,8290028.9621210005,2429263.587121,286.472599,0.000175,14.856060999999999,2.087595
2020-09-30,DE-HH,84.971461,1733530.505682,2427400.814394,288.066919,0.00022799999999999999,10.568182,1.8640150000000002
2020-10-01,DE-HH,79.00893,6904497.617424001,2404033.496212,286.836362,0.00011200000000000001,14.954545000000001,3.6166980000000004
2020-10-02,DE-HH,83.67058399999999,2365439.462121,2392117.297348,287.22379700000005,0.000826,7.878788,4.131944
2020-10-03,DE-HH,81.501166,2212085.949811,2375424.712121,288.73702799999995,0.00213,6.515152,5.241288
2020-10-04,DE-HH,71.954514,4440874.003788,2382476.219697,285.69082000000003,0.00010700000000000001,9.409091,3.8393309999999996
2020-10-05,DE-HH,79.019696,3215940.431818,2395909.837121,284.077868,0.0029809999999999997,10.234848,2.746433
2020-10-06,DE-HH,87.571969,2756561.367424,2388129.482955,284.924281,0.002339,5.992424,4.13892
2020-10-07,DE-HH,86.88327199999999,3183277.293561,2407693.212121,285.40255299999995,0.001574,7.878788,3.7615849999999997
2020-10-08,DE-HH,92.281376,12590.136016,2417519.50947,284.81789399999997,0.013577,6.378788,5.13952
2020-10-09,DE-HH,81.732448,4921793.954545,2429205.57197,285.412277,0.00031299999999999996,10.242424,3.004356
2020-10-10,DE-HH,81.229861,5315486.200758,2428357.126894,282.403598,0.0009699999999999999,8.795455,4.507512999999999
2020-10-11,DE-HH,89.094817,3532996.6325760004,2428791.899621,281.396747,0.0024289999999999997,6.075758,3.308018
2020-10-12,DE-HH,91.420357,4242571.5359849995,2432156.846591,281.292146,0.001121,5.212121,1.764678
2020-10-13,DE-HH,84.074522,3623622.6893940005,2431284.945076,282.206249,0.000156,9.590909,2.087342
2020-10-14,DE-HH,75.63709,362534.726089,2433001.342803,282.83572799999996,0.000291,5.969697,4.927146
2020-10-15,DE-HH,72.240375,680440.079072,2441942.7992419996,282.669786,6.3e-05,5.719697,3.860353
2020-10-16,DE-HH,79.47222099999999,2421591.670455,2445201.835227,281.293848,6.7e-05,6.75,1.963163
2020-10-17,DE-HH,85.342866,2105805.309659,2438884.204545,282.294035,0.0005610000000000001,5.863636,1.863605
2020-10-18,DE-HH,81.677841,1158745.794508,2434211.837121,282.502835,0.0005780000000000001,5.007576,3.861143
2020-10-19,DE-HH,85.411962,1362534.920928,2440342.056818,281.996806,0.00031800000000000003,6.060606,2.458933
2020-10-20,DE-HH,85.422947,982168.0265149999,2418837.632576,282.096306,0.004026,6.484848,3.336237
2020-10-21,DE-HH,86.10078399999999,27729.5563,2401390.320076,286.74084700000003,0.004884,4.393939,4.214236
2020-10-22,DE-HH,75.457826,3799601.327652,2412816.242424,288.392587,0.000233,6.2045449999999995,5.187468
2020-10-23,DE-HH,89.207668,2553279.855114,2416017.653409,284.927873,1.1e-05,4.8333330000000005,2.751042
2020-10-24,DE-HH,83.797944,1659295.413826,2414261.685606,286.411928,0.000964,4.0,4.671812
2020-10-25,DE-HH,82.237215,446210.716146,2399094.4375,286.371146,0.006456999999999999,3.257576,4.276705000000001
2020-10-26,DE-HH,87.757067,67407.460079,2395646.092803,283.357134,0.002068,3.424242,3.1589650000000002
2020-10-27,DE-HH,77.817615,2936879.560606,2400706.715909,283.104704,0.001588,5.0,5.131408
2020-10-28,DE-HH,81.27250699999999,2710279.202652,2403928.642045,284.16398,0.0034630000000000004,5.0,4.936458
2020-10-29,DE-HH,85.468401,3242843.982955,2416544.5132580004,282.748859,0.004346,4.075758,4.80363
2020-10-30,DE-HH,96.224585,283.91164100000003,2426362.098485,286.003636,0.010888,1.8787880000000001,4.334154
2020-10-31,DE-HH,92.333175,210297.163707,2434705.0757580004,286.861018,0.000437,0.840909,3.4093120000000003
2020-11-01,DE-HH,85.555929,2239226.003788,2414443.8257580004,286.76518500000003,0.001766,4.0,4.378662
